,count,mean,std,min,25%,50%,75%,max
visitorid,49358.0,707298.61,407209.816,37.0,353292.0,710091.0,1060354.75,1407573.0
ses_rec,49358.0,15.455,9.185,0.0,7.0,16.0,23.0,31.0
ses_rec_avg,49358.0,11.232,18.163,0.0,0.0,2.25,14.25,99.0
ses_rec_sd,49358.0,2.712,6.584,0.0,0.0,0.0,1.0,47.5
ses_rec_cv,49358.0,-0.02,0.918,-1.0,-1.0,0.0,0.639,11.525
user_rec,49358.0,33.823,25.238,0.0,16.0,26.0,46.0,99.0
ses_n,49358.0,3.366,7.381,2.0,2.0,2.0,3.0,475.0
ses_n_r,49358.0,0.172,0.373,-1.0,0.061,0.091,0.167,18.0
int_n,49358.0,6.716,38.529,2.0,2.0,3.0,6.0,5549.0
int_n_r,49358.0,1.721,1.456,1.0,1.0,1.25,2.0,59.0
tran_n,49358.0,0.111,2.798,0.0,0.0,0.0,0.0,461.0
tran_n_r,49358.0,0.019,0.124,0.0,0.0,0.0,0.0,5.0
rev_sum,49358.0,11971.144,347566.863,0.0,0.0,0.0,0.0,59717964.0
rev_sum_r,49358.0,1893.034,19701.202,0.0,0.0,0.0,0.0,1587480.0
major_spend_r,49358.0,0.013,0.074,0.0,0.0,0.0,0.0,1.0
int_cat_n_avg,49358.0,1.019,0.123,1.0,1.0,1.0,1.0,9.0
int_itm_n_avg,49358.0,1.431,1.041,1.0,1.0,1.0,1.5,56.0
ses_mo_avg,49358.0,7.202,0.578,5.154,7.0,7.0,7.833,8.0
ses_mo_sd,49358.0,0.345,0.515,0.0,0.0,0.0,0.707,2.121
ses_ho_avg,49358.0,13.891,4.0,0.0,11.333,13.8,16.5,23.0
ses_ho_sd,49358.0,3.366,3.006,0.0,0.707,2.708,4.95,16.263
ses_wknd_r,49358.0,0.271,0.358,0.0,0.0,0.0,0.5,1.0
ses_len_avg,49358.0,1.74,3.521,0.0,0.0,0.106,2.068,79.167
time_to_int,49358.0,0.652,1.01,0.0,0.0,0.073,1.007,8.667
time_to_tran,49358.0,-0.072,9.406,-1.0,-1.0,-1.0,-1.0,1233.333
int_cat1_n,49358.0,0.138,2.775,0.0,0.0,0.0,0.0,443.0
int_cat2_n,49358.0,0.172,1.684,0.0,0.0,0.0,0.0,157.0
int_cat3_n,49358.0,0.041,0.662,0.0,0.0,0.0,0.0,50.0
int_cat4_n,49358.0,0.001,0.038,0.0,0.0,0.0,0.0,5.0
int_cat5_n,49358.0,0.067,0.695,0.0,0.0,0.0,0.0,45.0
int_cat6_n,49358.0,0.017,0.313,0.0,0.0,0.0,0.0,27.0
int_cat7_n,49358.0,0.009,0.17,0.0,0.0,0.0,0.0,19.0
int_cat8_n,49358.0,0.0,0.01,0.0,0.0,0.0,0.0,2.0
int_cat9_n,49358.0,0.0,0.021,0.0,0.0,0.0,0.0,3.0
int_cat10_n,49358.0,0.029,0.694,0.0,0.0,0.0,0.0,86.0
int_cat11_n,49358.0,0.002,0.145,0.0,0.0,0.0,0.0,22.0
int_cat12_n,49358.0,0.198,2.427,0.0,0.0,0.0,0.0,358.0
int_cat13_n,49358.0,0.007,0.222,0.0,0.0,0.0,0.0,32.0
int_cat15_n,49358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
int_cat16_n,49358.0,0.956,6.087,0.0,0.0,0.0,0.0,576.0
int_cat17_n,49358.0,0.774,5.004,0.0,0.0,0.0,0.0,445.0
int_cat18_n,49358.0,0.383,4.57,0.0,0.0,0.0,0.0,481.0
int_cat19_n,49358.0,0.732,4.978,0.0,0.0,0.0,0.0,564.0
int_cat20_n,49358.0,0.503,3.259,0.0,0.0,0.0,0.0,317.0
int_cat21_n,49358.0,0.447,3.874,0.0,0.0,0.0,0.0,420.0
int_cat22_n,49358.0,2.103,16.273,0.0,0.0,0.0,2.0,2282.0
int_cat23_n,49358.0,0.038,0.594,0.0,0.0,0.0,0.0,54.0
int_cat24_n,49358.0,0.1,1.135,0.0,0.0,0.0,0.0,105.0
target_class,49358.0,0.886,0.318,0.0,1.0,1.0,1.0,1.0
